"Computer","OSProduct","InstalledKBs"
"wc-hlps-gv-as2.lottomatica.net","Windows Server 2012 R2","4487123,5022785,3161949,5013839,5027282,3046017,4345681,3159398,5029304,5004958,3045999,5025288,3059317,2967917,3175024,3042085,4577071,925673,4601349,4586823,4514599,4565540,4507413,5030287,5026409,5027533,5012326,4598275,5030175,3071756,3156059,4556405,3005628,3000850,4054522,3126434,3044374,4340006,2919355,3178539,4498963,4576489,5003681,5021081,5031407,3084135,3023266,3061512,3077715,3110329,4592495,3019978,4580469,3045685,5023764,4602960,5029568,5028223,3000483,4566468,4099639,4019111,3086255,5022894,3133043,5020680,3139914,3146723,4103715,5029368,3126587,4534978,4580358,5004285"
"wp-spazmps-as01.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wc-sed-01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-hlps-gv-as1.lottomatica.net","Windows Server 2012 R2","4099639,2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,4577071,3084135,4586823,3178539,3110329,925673,4534978,4580358,4507413,3156059,4019111,3042085,3077715,3161949,4487123,3126434,4566468,3045999,3023266,3000483,3046017,3175024,4580469,3071756,4340006,3059317,4556405,4592495,3086255,3139914,3000850,5004285,3005628,3146723,4345681,4602960,4054522,3159398,4498963,4514599,4601349,3045685,4598275"
"wp-intranet-as1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wc-crdbrd-as01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-zsvisor-1.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wp-lottodc2.lottomatica.net","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wp-ehp8-rcs.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-dfs-r03.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-crmb2b-fe2.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wc-crmb2b-as2.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wc-eva-db1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-crmb2b-as1.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wp-vdi-cc1.lottomatica.net","Windows Server 2019 Datacenter","4052623,925673,5050182,5005112"
"wp-cerved-db1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-sed-as01.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"wt-ehp8-db2.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wc-crdbrd-db01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-lottodc3.lottomatica.net","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wp-hlps-l-as2.lottomatica.net","Windows Server 2012 R2","4099639,2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,4577071,3084135,4586823,4507413,3178539,3110329,925673,4534978,4580358,4055271,3156059,4565540,4019111,3042085,3077715,3161949,4487123,3126434,4566468,3045999,4088879,3023266,3000483,3046017,3175024,4580469,3071756,4340006,3059317,4556405,4592495,3086255,3139914,3000850,5004285,5009595,3005628,3146723,4345681,4602960,4054522,3159398,4498963,4514599,4601349,3045685,4598275"
"wp-crmb2b-fe1.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
"2k8p-dts-as01.lottomatica.net","Windows Server 2008 R2 Standard Edition","3074543,3024777,4338823,2786081,3139914,2621440,3086255,2937610,4019263,4343899,2861698,2667402,3030377,2758857,3075220,3035126,2560656,3159398,2643719,3059317,4462915,3023215,2968294,2729452,4474419,2991963,3031432,4345679,4014985,4041090,3045685,4499175,2840631,2862330,4099637,2911501,4480960,4507456,2604115,3037574,3097989,2770660,2977292,2789645,3060716,2705219,3071756,2552343,3161949,4019108,4340004,3108664,2656356,2654428,2984972,2931356,2871997,4471328,2564958,4507411,2884256,2836942,3101722,3042058,2690533,3138612,3139398,3127220,4503269,2506014,3110329,2992611,3020388,3004375,2868038,3019978,2698365,2894844,2972211,2864202,3046269,2912390,4012212,4493448,3010788,2585542,2813430,4055269,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,2943357,2972100,4457145,2807986,3108371,3133043,2653956,4467106,925673,4103712,2893294,4486564,3072305,4015546,3156016,4093108,3126587,4284867,2742599,3075226,4489885,4487121"
"wc-zccht-fe-01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wp-tem-gv-db1.lottomatica.net","Windows Server 2019 Datacenter","925673"
"wt-crmb2b-db1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5065222,5005112,2267602,5012170,925673"
"wp-zccht-fe-02.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5005112"
"wc-crmb2b-db1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wc-tem-gv-ras1.lottomatica.net","Windows Server 2019 Datacenter","5065428,925673,4052623,2267602,5005112"
"wc-smorfia-fe1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wp-cryptshr-1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-delivery2.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5021051,5005112"
"wt-crmb2b-as2.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-gestweb-as2.lottomatica.net","Windows Server 2019 Datacenter","925673,5012170,5005112"
