"Computer","OSProduct","InstalledKBs"
"wt-hlps-l-as2.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,5015877,2967917,3077715,5020010,3042085,5017365,925673,4601349,5006729,4514599,5028223,4507413,5026409,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3005628,5011560,3000850,4054522,3126434,3044374,4340006,4099639,2919355,3178539,4498963,5008285,4576489,4556405,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,5003681,3019978,4580469,3045685,5023764,4602960,5001393,5029568,5005106,3000483,4566468,5009595,4019111,3086255,5003220,5022894,3133043,5020680,3139914,4103715,5029368,5014746,3126587,4534978,5030287,5005627,5004285"
"wt-hlps-l-as1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,5015877,2967917,3077715,5020010,3042085,5017365,925673,4601349,5006729,4514599,5028223,4507413,5026409,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3005628,5011560,3000850,4054522,3126434,3044374,4340006,4099639,2919355,3178539,4498963,5008285,4576489,4556405,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,5003681,3019978,4580469,3045685,5023764,4602960,5001393,5029568,5005106,3000483,4566468,5009595,4019111,3086255,5003220,5022894,3133043,5020680,3139914,4103715,5029368,5014746,3126587,4534978,5030287,5005627,5004285"
"wp-ehp8-app1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"milsapproddb3.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wc-gest-as01.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wt-intranet-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-isim-conn-ca.ltm.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"wp-ourbpe-oneid.ourbpe.com","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wp-zccht-be-01.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5005112"
"wp-doc-as1.lottomatica.net","Windows Server 2016 Datacenter","5023788,925673"
"wp-doc-fe1.lottomatica.net","Windows Server 2016 Datacenter","925673"
"wp-ssblog.lottomatica.net","Windows Server 2016 Datacenter","4052623,925673"
"wc-docprot-fe1.lottomatica.net","Windows Server 2016 Datacenter","4052623,5065427,2267602,5012170,925673,5065687"
"wc-doc-fe1.lottomatica.net","Windows Server 2016 Datacenter","4052623,5065427,2267602,5012170,925673,5065687"
"wp-vemsaphntst.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5005112"
"rmesapdrapp1.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"rmesapdrapp2.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"milsappdrcs.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"wp-vemsaphnprd.lottomatica.net","Windows Server 2019 Datacenter","925673,5050182,5005112"
"wc-hlps-l-db1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5008285,3082089,4534978,4512489,3046017,4534309,4561673,3159398,4471322,5004958,5022346,3045999,5010395,3059317,5015877,2967917,3175024,3178539,5020010,3042085,5017365,925673,4577071,4586823,5009595,4514599,4565540,4507413,4503290,4345681,4489883,4601349,4550970,4525250,5030175,3071756,5018476,3156059,5016683,3077715,3005628,5011560,3000850,4054522,5006729,5013839,3044374,5012326,4103715,4340006,5027533,2919355,4516064,4493467,4498963,4598275,4576489,5004285,4556405,5021081,5021296,4519990,3023266,3061512,3110329,5014001,4592495,5003681,3019978,4580469,5007255,3045685,4537803,4602960,3084135,5029568,5000853,5005106,5001393,3000483,3126434,4099639,4019111,4530730,4480964,3086255,5003220,4566468,3133043,5020680,3139914,3146723,3126587,5029368,4541505,5014746,4487028,4499165,4580358,4507457,5005627,4556853"
"wt-prot-as1.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673"
"ops-dc-01.ops.g2-networks.net","Windows Server 2008 R2 Datacenter Edition","3074543,3024777,4338823,2786081,3139914,2621440,4487121,3086255,2937610,4019263,3192391,4343899,2861698,2667402,4512486,3030377,2758857,3075220,3035126,2560656,3159398,2853587,2643719,4520003,3059317,4462915,3023215,2968294,4575903,2729452,4038779,4474419,4530692,4490628,2991963,4516033,3031432,4055269,4014985,4503269,4041090,4499175,2840631,2862330,4099637,2911501,4480960,4507456,2604115,3037574,3097989,2770660,2977292,3060716,2705219,3071756,2552343,3161949,4345679,4022722,4041678,4019108,4340004,3108664,4054521,2656356,2654428,2984972,2931356,4471328,2871997,4048960,2564958,4507411,2884256,2836942,3101722,3042058,2690533,3138612,3139398,3127220,3205394,5016892,2506014,3110329,2992611,3020388,3004375,2868038,3019978,2698365,2894844,3045685,2864202,4025337,3046269,2912390,4012212,4493448,3010788,2585542,2813430,4088878,4525233,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,4534976,2943357,2972100,4457145,2807986,3108371,3133043,2653956,925673,4034679,4103712,2893294,4486564,3072305,4015546,3156016,4093108,3126587,4284867,2742599,3075226,3092601,4056897,4074587,4489885"
"ops-dc-02.ops.g2-networks.net","Windows Server 2008 R2 Standard Edition","3074543,3024777,2786081,3139914,2621440,4487121,3086255,2937610,4019263,3192391,4343899,2861698,2667402,4512486,3030377,2758857,3075220,3035126,2560656,3159398,2853587,2643719,4520003,3059317,4462915,3023215,2968294,4575903,2729452,4038779,4474419,4530692,4490628,2991963,4516033,3031432,4055269,4014985,4041090,3045685,4499175,2840631,2862330,4099637,2911501,4480960,4507456,2604115,3037574,3097989,2770660,2977292,2789645,3060716,2705219,3071756,2552343,3161949,4345679,4022722,4041678,4019108,4340004,3108664,4054521,2656356,2654428,2984972,2931356,4471328,2871997,4048960,2564958,4507411,2884256,2836942,3101722,3042058,2690533,3138612,3139398,3127220,4534976,5016892,2506014,3110329,2992611,3020388,3004375,2868038,3019978,2698365,2894844,2972211,2864202,4025337,3046269,2912390,4012212,4493448,3010788,2585542,2813430,4088878,4525233,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,2943357,2972100,4457145,2807986,3108371,3133043,2653956,925673,4034679,4103712,2893294,4486564,3072305,4015546,3156016,4093108,3126587,4284867,2742599,3075226,3092601,4056897,4074587,4489885"
"ops-dc-03.ops.g2-networks.net","Windows Server 2008 R2 Datacenter Edition","3074543,3024777,2786081,3139914,2621440,4487121,3086255,2937610,4019263,3192391,4343899,2861698,2667402,4512486,3030377,2758857,3075220,3035126,2560656,3159398,2853587,2643719,3059317,4462915,3023215,2968294,4575903,2729452,4038779,4474419,4530692,4490628,2991963,4516033,3031432,4055269,4014985,4041090,3045685,4499175,2840631,2862330,4099637,2911501,4480960,4507456,2604115,3037574,3097989,2770660,2977292,2789645,3060716,2705219,3071756,2552343,3161949,4345679,4022722,4041678,4019108,4340004,3108664,4054521,2656356,2654428,2984972,2931356,4471328,2871997,4048960,2564958,4507411,2884256,2836942,3101722,3042058,2690533,3138612,3139398,3127220,4534976,5016892,2506014,3110329,2992611,3020388,3004375,2868038,3019978,2698365,2894844,2972211,2864202,4025337,3046269,2912390,4012212,4493448,3010788,2585542,2813430,4088878,4525233,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,2943357,2972100,4457145,2807986,3108371,3133043,2653956,925673,4034679,4103712,2893294,4486564,3072305,4015546,3156016,4093108,3126587,4284867,2742599,3075226,3092601,4056897,4074587,4489885"
"ca-01.ops.g2-networks.net","Windows Server 2008 R2 Datacenter Edition","2518295,3024777,4338823,2786081,2621440,3161949,2937610,4019263,4022722,4343899,4490628,3030377,2758857,4034679,3035126,2560656,3159398,2643719,3059317,4462915,3023215,2968294,4575903,2729452,4038779,4474419,4530692,3074543,2991963,3031432,3000483,4014985,4041090,4499175,2656356,2862330,4099637,2911501,4480960,2604115,3037574,3097989,2770660,2977292,3060716,2705219,3046017,2552343,4534976,4345679,4520003,4041678,4019108,4340004,4054521,2654428,2984972,3075220,2871997,4048960,2807986,2564958,4507411,2884256,3101722,3042058,2690533,3138612,3139398,3127220,3205394,5016892,2506014,3110329,2992611,3004375,4534314,2868038,3019978,2698365,2894844,3045685,2864202,4025337,4012212,2912390,4493448,2972100,3010788,2585542,2813430,4055269,4525233,4498961,4487121,4471981,2931356,3108664,2667402,2973201,3109560,3086255,4457145,3046269,3108371,3133043,2653956,925673,4103712,2893294,4486564,4015546,3156016,4093108,3126587,4284867,2742599,3139914,3092601,4056897,3071756,4489885"
"2k8p-ops-cent1.ops.g2-networks.net","Windows Server 2008 R2 Standard Edition","3074543,3024777,2786081,3139914,2621440,3086255,2937610,2861698,2667402,3030377,2758857,4490628,3035126,2560656,3159398,2643719,3059317,3023215,2968294,4575903,2729452,4474419,4530692,2991963,3031432,4345679,4014985,4041090,3045685,2840631,2862330,4099637,2911501,4480960,2604115,3037574,3097989,2770660,2977292,2789645,3060716,2705219,3071756,2552343,3161949,4520003,3020387,4019108,3108664,2656356,2654428,2984972,2931356,2871997,4471328,2564958,4507411,2884256,3101722,3042058,2690533,3138612,3139398,3127220,4534976,5016892,2506014,3110329,2992611,3004375,4534314,2868038,3020388,2698365,2894844,2972211,2864202,3046269,2912390,4493448,3010788,2585542,2813430,4055269,4525233,4498961,3046017,4471981,3000483,2736422,2836943,2973201,3109560,2943357,2972100,2807986,3108371,3133043,2653956,4467106,925673,2893294,4486564,3072305,2984976,3156016,4340004,3126587,2742599,3075226,3092601,4487121,4489885"
"sec-02.ops.g2-networks.net","Windows Server 2008 R2 Datacenter Edition","3074543,3024777,4503269,2786081,2972215,3086255,2937610,4019263,3192391,2621440,4343899,3046017,3030377,2758857,3075220,3035126,2560656,3159398,2643719,4520003,3059317,4462915,3023215,2968294,4575903,2729452,4038779,4474419,4530692,4490628,2991963,4516033,3031432,3197867,4014985,4041090,2978125,4499175,2656356,2862330,4099637,2911501,4480960,4507456,2604115,3074547,3037574,3097989,2770660,2977292,3060716,2705219,3071756,2552343,3161949,4345679,4022722,4041678,4019108,2972106,4054521,4525233,2654428,2984972,2931356,3023221,2871997,4048960,2564958,3097994,4507411,2884256,3101722,3042058,2690533,3138612,3139398,3127220,3205394,5016892,2506014,3110329,2992611,3004375,3098778,4534314,2868038,3019978,2698365,2894844,3045685,2864202,3046269,2912390,4012212,4487121,3010788,3037578,2585542,2813430,4055269,2894842,4498961,4471981,3000483,3108664,2667402,2973201,3109560,4534976,2972100,4457145,2807986,3108371,3133043,2653956,925673,4034679,2893294,4486564,3126587,4015546,3156016,4340004,3032662,2742599,3139914,3092601,4056897,4512486,4489885"
"wp-sw-npmdb.lottomatica.net","Windows Server 2016 Datacenter","925673"
"wp-crmb2b-fe3.lottomatica.net","Windows Server 2019 Datacenter","4052623,925673,5050182,5012170,5005112"
"2k3-idm2.lottomatica.net","Windows Server 2003 R2 Enterprise x64 Edition","925673"
"sql-dbeva1.lottomatica.net","Windows Server 2008 Standard Edition (full installation)","3127219,4056564,2937608,2991963,2931354,2813430,979309,3004361,967723,2564958,4025398,4091756,3218362,3159398,3059317,2974268,974571,3149090,4034786,973565,3060716,3110329,3022777,3011780,3140709,3108664,3071756,2585542,4093227,2894847,925673,3057154,975560,2900986,973507,4039038,4130956,3010788,4018556,2972098,3193418,3072303,4034775,2943344,2911502,2598479,3037573,978338,3108371,971657,3139398,2621440,3101722,2974269,954155,982799,2862973,2698365,4018106,4046184,2868116,2705219,3205638,3003743,959209,2506212,960859,2654428,2507938,4042123,3109094,4089175,4022884,3086255,4034745,3005607,4039384,2423089,982536,4042050,3000483,3097988,2653956,2748349,3075220,2631813,4022748,971029,4130944,2862335,3191203,970430,2893294,2729453,2968292,4025409,2864063,2481109,4018927,3161949,4055272,3055642,4026059,2742601,3023213,4022010,4101477,4019109,2387149,4034744,4035679,2643719,4047211,4026061,4012584,2345886,2604094,3141083,3208481,3183431,3167679,3217841,3139914,4025397,2419640,2884256,2864202,2718704,2798162,3135982,2483185,4032201,4022008,4018821,2690533,2973201,3170455,4056942,3126587,2685939,3021674,4052303,4230467,3074541,3035126,3109103,3126041,982525,3196718,2807986,2862330,4041093,974318,2836945,4099640,4014988,2868038,3109560,4089229,973917,4090450,3045685,4015067,2770660,4022914,2861855,2706045,4014794,4014652,3078601,2862152,2998579,3068457,3133043,2506014,4022750,4012583,2820917,2347290,2305420,3217587,3185911,3046017"
"wd-ehp8-db2.lottomatica.net","Windows Server 2019 Datacenter","4052623,5065428,5050182,5005112,2267602,925673,5065222"
"wd-ehp8-as1.lottomatica.net","Windows Server 2019 Datacenter","5065428,925673,4052623,2267602,5005112"
"2k3-lh-inaz.lottomatica.net","Windows Server 2003 Standard Edition","925673"
"2k3-qlikview.lottomatica.net","Windows Server 2008 Standard Edition (full installation)","3127219,2937608,2991963,2931354,2813430,979309,3004361,967723,2564958,3032662,4025398,2972106,3218362,3097994,2972215,3059317,2974268,974571,3149090,4034786,973565,3060716,3110329,3022777,3011780,3140709,3108664,3071756,2585542,2894847,925673,3057154,975560,2900986,973507,4039038,3010788,4018556,3159398,2972098,3193418,4034775,2943344,2911502,2598479,3037573,978338,3108371,971657,3139398,2621440,3101722,975254,2974269,954155,982799,2862973,2698365,4018106,2868116,2705219,3205638,3003743,959209,2506212,960859,2654428,2507938,4042123,3109094,4022884,3086255,4034745,3005607,4039384,2423089,982536,4042050,3000483,3097988,2653956,2748349,3075220,4022748,971029,4018821,2862335,3191203,970430,2893294,2729453,2968292,4025409,2864063,2481109,4012373,4018927,3161949,3055642,4026059,2742601,3023213,4022010,4019109,2387149,4034744,4035679,2643719,2798162,2305420,4026061,4012584,2345886,2604094,3141083,3208481,3183431,3167679,3217841,4025397,2419640,2884256,2864202,2718704,3037578,3135982,2483185,3023221,4032201,4022008,2894842,3021674,2690533,2973201,3170455,3126587,2685939,3139914,3074541,3035126,3109103,3126041,982525,3196718,2807986,2862330,4041093,974318,2836945,4014988,2868038,3109560,3098778,973917,3045685,2978125,4015067,2770660,4022914,2861855,2706045,4014794,4014652,3074547,3078601,2862152,2998579,3068457,3133043,2506014,4022750,4012583,2820917,2347290,3099866,3217587,3185911,3046017"
"wp-cadc-1.ltm.net","Windows Server 2016 Datacenter","2267602,925673,4052623,5065427,5065687"
"wp-cadc-2.ltm.net","Windows Server 2016 Datacenter","2267602,925673,4052623,5065427,5065687"
"wd-rmesap-as01.lottomatica.net","Windows Server 2019 Datacenter",""
